Assuming 9 as type relation
Loading files... 
  Starting de_pl_tri.txt
  Finished de_pl_tri.txt, still running: 0
Loaded 716044 facts in 6.02 s using -46 MB
Using HeadCoverage as pruning metric with minimum threshold 0.001
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.01
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 1 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?n  equalTo  ?b  ?h  http://dbpedia.org/ontology/previousWork  ?n  ?a  http://dbpedia.org/ontology/subsequentWork  ?h  ?n  http://dbpedia.org/ontology/subsequentWork  ?h   => ?a  equalTo  ?b	0.00462542	0.954993571	0.954993571	2228	2333	2333	-2
?s  equalTo  ?b  ?h  http://dbpedia.org/ontology/artist  ?n  ?s  http://dbpedia.org/ontology/artist  ?n  ?a  http://dbpedia.org/ontology/subsequentWork  ?h   => ?a  equalTo  ?b	0.00440536	0.076939811	0.076939811	2122	27580	27580	-2
?h  equalTo  ?n  ?h  http://dbpedia.org/ontology/previousWork  ?a  ?n  http://dbpedia.org/ontology/previousWork  ?b  ?a  http://dbpedia.org/ontology/subsequentWork  ?h   => ?a  equalTo  ?b	0.003238624	0.744274809	0.925816024	1560	2096	1685	-2
?m  equalTo  ?b  ?h  http://dbpedia.org/ontology/previousWork  ?a  ?a  http://dbpedia.org/ontology/subsequentWork  ?h  ?m  http://dbpedia.org/ontology/subsequentWork  ?h   => ?a  equalTo  ?b	0.00462542	0.966175195	0.966175195	2228	2306	2306	-2
?n  equalTo  ?b  ?a  http://dbpedia.org/ontology/previousWork  ?h  ?h  http://dbpedia.org/ontology/subsequentWork  ?a  ?h  http://dbpedia.org/ontology/subsequentWork  ?n   => ?a  equalTo  ?b	0.004428196	0.945059814	0.945059814	2133	2257	2257	-2
?n  equalTo  ?b  ?a  http://dbpedia.org/ontology/previousWork  ?h  ?n  http://dbpedia.org/ontology/previousWork  ?h  ?h  http://dbpedia.org/ontology/subsequentWork  ?n   => ?a  equalTo  ?b	0.004428196	0.949265688	0.949265688	2133	2247	2247	-2
?h  equalTo  ?n  ?a  http://dbpedia.org/ontology/previousWork  ?h  ?h  http://dbpedia.org/ontology/subsequentWork  ?a  ?n  http://dbpedia.org/ontology/subsequentWork  ?b   => ?a  equalTo  ?b	0.003151431	0.713345865	0.919442762	1518	2128	1651	-2
?s  equalTo  ?b  ?h  http://dbpedia.org/ontology/artist  ?n  ?s  http://dbpedia.org/ontology/artist  ?n  ?a  http://dbpedia.org/ontology/previousWork  ?h   => ?a  equalTo  ?b	0.004187375	0.073350789	0.073350789	2017	27498	27498	-2
?m  equalTo  ?b  ?a  http://dbpedia.org/ontology/previousWork  ?h  ?m  http://dbpedia.org/ontology/previousWork  ?h  ?h  http://dbpedia.org/ontology/subsequentWork  ?a   => ?a  equalTo  ?b	0.004428196	0.95951417	0.95951417	2133	2223	2223	-2
?g  equalTo  ?b  ?g  http://dbpedia.org/ontology/artist  ?n  ?s  http://dbpedia.org/ontology/artist  ?n  ?s  http://dbpedia.org/ontology/previousWork  ?a   => ?a  equalTo  ?b	0.004297405	0.068465965	0.068465965	2070	30234	30234	-2
?g  equalTo  ?b  ?g  http://dbpedia.org/ontology/artist  ?n  ?s  http://dbpedia.org/ontology/artist  ?n  ?s  http://dbpedia.org/ontology/subsequentWork  ?a   => ?a  equalTo  ?b	0.004145854	0.064831348	0.064831348	1997	30803	30803	-2
?g  equalTo  ?b  ?n  http://dbpedia.org/ontology/previousWork  ?a  ?n  http://dbpedia.org/ontology/previousWork  ?g  ?g  http://dbpedia.org/ontology/subsequentWork  ?n   => ?a  equalTo  ?b	0.00462542	0.967433782	0.967433782	2228	2303	2303	-2
?g  equalTo  ?b  ?g  http://dbpedia.org/ontology/previousWork  ?n  ?n  http://dbpedia.org/ontology/subsequentWork  ?a  ?n  http://dbpedia.org/ontology/subsequentWork  ?g   => ?a  equalTo  ?b	0.004428196	0.963849977	0.963849977	2133	2213	2213	-2
?g  equalTo  ?b  ?m  http://dbpedia.org/ontology/artist  ?a  ?t  http://dbpedia.org/ontology/artist  ?g  ?m  http://dbpedia.org/ontology/previousWork  ?t   => ?a  equalTo  ?b	0.001478141	0.853717026	0.853717026	712	834	834	-2
