Assuming 9 as type relation
Loading files... 
  Starting sel_fw.txt
  Finished sel_fw.txt, still running: 0
Loaded 882061 facts in 8.53 s using -181 MB
Using HeadCoverage as pruning metric with minimum threshold 0.001
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.01
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 1 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  P3373  ?h  ?n  P3373  ?h  ?h  P3373  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.002687241	0.686848958	0.686848958	1055	1536	1536	-2
?h  P22  ?b  ?h  P22  ?n  ?b  P40  ?h  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001783003	1	1	700	700	700	-2
?h  P22  ?n  ?b  P40  ?h  ?n  P40  ?h  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001783003	0.951086957	0.951086957	700	736	736	-2
?h  P22  ?b  ?b  P40  ?h  ?n  P40  ?h  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001783003	0.951086957	0.951086957	700	736	736	-2
?b  P22  ?h  ?h  P40  ?b  ?h  P40  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001989322	0.777114428	0.777114428	781	1005	1005	-2
?b  P22  ?h  ?n  P22  ?h  ?h  P40  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001989322	0.776341948	0.776341948	781	1006	1006	-2
?h  P26  ?b  ?b  P26  ?h  ?h  P26  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001933285	0.96319797	0.96319797	759	788	788	-2
?b  P26  ?h  ?n  P26  ?h  ?h  P26  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001933285	0.965648855	0.965648855	759	786	786	-2
?h  P26  ?b  ?b  P26  ?h  ?n  P26  ?h  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001933285	0.965648855	0.965648855	759	786	786	-2
?h  P131  ?n  ?n  P150  ?b  ?n  P150  ?h  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.002590449	0.061442726	0.061442726	1017	16552	16552	-2
?h  P131  ?n  ?s  P131  ?n  ?s  P47  ?b  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.001115651	0.02231506	0.02231506	438	19628	19628	-2
?n  P47  ?b  ?n  P47  ?h  ?h  P47  ?n  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.009167185	0.579735825	0.579735825	3599	6208	6208	-2
?t  P47  ?b  ?h  P47  ?n  ?n  P47  ?t  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.001016312	0.064479638	0.064479638	399	6188	6188	-2
?s  P47  ?b  ?h  P47  ?n  ?s  P47  ?n  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.001021406	0.062422167	0.062422167	401	6424	6424	-2
?h  P155  ?n  ?n  P156  ?b  ?n  P156  ?h  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.002791674	0.989169675	0.989169675	1096	1108	1108	-2
?n  P155  ?b  ?n  P155  ?h  ?h  P156  ?n  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.002789127	0.991847826	0.991847826	1095	1104	1104	-2
?n  P3373  ?b  ?n  P3373  ?h  ?h  P3373  ?n  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.002687241	0.684620376	0.684620376	1055	1541	1541	-2
?n  P22  ?b  ?n  P22  ?h  ?h  P40  ?n  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.001783003	1	1	700	700	700	-2
?h  P22  ?n  ?n  P40  ?b  ?n  P40  ?h  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.001989322	0.777114428	0.777114428	781	1005	1005	-2
?n  P26  ?b  ?n  P26  ?h  ?h  P26  ?n  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.001933285	0.96319797	0.96319797	759	788	788	-2
?m  P47  ?b  ?s  P47  ?h  ?s  P47  ?m  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.00100867	0.063594026	0.063594026	396	6227	6227	-2
?s  P47  ?b  ?m  P47  ?h  ?s  P47  ?m  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.00100867	0.063594026	0.063594026	396	6227	6227	-2
?a  Producer  ?h  ?a  Recorded by  ?h  ?m  Recorded by  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.002208377	0.055075594	0.055075594	867	15742	15742	-2
?m  Producer  ?h  ?a  Recorded by  ?h  ?m  Recorded by  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.002208377	0.054984779	0.054984779	867	15768	15768	-2
?a  Producer  ?h  ?m  Producer  ?h  ?a  Recorded by  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.002208377	0.178175092	0.178175092	867	4866	4866	-2
?a  Place  ?m  ?a  Time zone(s)  ?h  ?m  Time zone(s)  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.004503357	1	1	1768	1768	1768	-2
?m  Place  ?a  ?a  Time zone(s)  ?h  ?m  Time zone(s)  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.004503357	1	1	1768	1768	1768	-2
?a  Children  ?h  ?t  Children  ?h  ?m  Spouse (or domestic partner)  ?t  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.005435613	0.401883239	0.401883239	2134	5310	5310	-2
?a  Children  ?h  ?s  Children  ?h  ?s  Spouse (or domestic partner)  ?m  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.005435613	0.401883239	0.401883239	2134	5310	5310	-2
?h  Children  ?n  ?s  Children  ?n  ?a  Spouse (or domestic partner)  ?h  ?s  equalTo  ?b   => ?a  equalTo  ?b	0.005435613	0.401731928	0.401731928	2134	5312	5312	-2
?m  Previous episode  ?t  ?a  Series  ?h  ?t  Series  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.001176782	0.017745343	0.017745343	462	26035	26035	-2
?s  Previous episode  ?m  ?a  Series  ?h  ?s  Series  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.001179329	0.017847506	0.017847506	463	25942	25942	-2
?a  Award Won  ?h  ?s  Award Won  ?n  ?h  Category of  ?n  ?s  equalTo  ?b   => ?a  equalTo  ?b	0.001668382	0.02458801	0.02458801	655	26639	26639	-2
?a  Award Won  ?h  ?m  Award Won  ?s  ?s  Category of  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.001668382	0.02458801	0.02458801	655	26639	26639	-2
?v  Place  ?a  ?a  Place  ?h  ?a  Place  ?v  ?h  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?a  Place  ?h  ?a  Place  ?v  ?h  equalTo  ?b  ?v  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	0.98094449	0.98094449	4736	4828	4828	-2
?a  Place  ?h  ?v  Place  ?h  ?a  Place  ?v  ?h  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?a  Place  ?h  ?a  Place  ?v  ?h  Place  ?v  ?h  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?u  Place  ?a  ?a  Place  ?h  ?h  equalTo  ?b  ?u  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?a  Place  ?h  ?u  Place  ?h  ?h  equalTo  ?b  ?u  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?a  Place  ?h  ?h  Place  ?u  ?h  equalTo  ?b  ?u  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?u  Place  ?a  ?a  Place  ?h  ?u  Place  ?h  ?h  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?a  Place  ?h  ?u  Place  ?h  ?h  Place  ?u  ?h  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?a  Place  ?h  ?h  Place  ?n  ?s  Place  ?n  ?s  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?h  Place  ?a  ?a  Place  ?h  ?m  Place  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?a  Place  ?h  ?m  Place  ?h  ?h  Place  ?m  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
